Handle,Posted,Text,Deleted,Uri,Images
joshnicholas.com,2024-12-07,Lovely sunny day in Geelong #scribble,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lcqu6dvli22t,bafkreiduwnov34bdc3xg52wcjzdn2ooqkh4mkeace7putoxomvdobz4rpi.jpg
joshnicholas.com,2024-12-07,Why do they water the grass before a füssball game? Doesn't that just make it slippery?,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lcp7eo7rxk24,bafkreic2o3zwif6qfovm6sdfwb7aciujewzy2hskull4i2dimzlrp22j6e.jpg
joshnicholas.com,2024-12-06,Just took our cricket quiz again after two years and I've forgotten everything :( www.theguardian.com/sport/2023/j...,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lcmqvl6ams27,bafkreiaweb5dbq2sz7zb5yj42dv2lxfph5gfuygfhcld6d3hi3a3qy4jzq.jpgbafkreieovt6elhsruwptjxlzirlm7wqa3rxcfx5mwf474fehl63lsqvlpe.jpg
joshnicholas.com,2024-12-04,We were promised flying cars... restofworld.org/2024/uber-sh...,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lcj7i3lq7k2x,bafkreicyq2wnxmc2bp5exnpf6ttm4bfsspxwdqwj6tikgnvb6vkhbpnz5i.jpg
joshnicholas.com,2024-12-04,Next #scribble vocab word(s): igena gannava,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lcj4rsezp22w,bafkreiahg6cum5xsy4qti3ezkwkhgdheyihf5puvgopougel25rugnkjta.jpg
joshnicholas.com,2024-12-04,This chap has been waiting for someone for a while #scribble,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lcixfsxcxc2w,bafkreiaist7i2on52yxk7ib74gdi4rter4mwhvgckt7rudxclgxagndlcu.jpg
joshnicholas.com,2024-12-03,Amazing that the Verge's new subscription supports full text rss. Long live rss! www.theverge.com/subscribe,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lcgngigozk2g,bafkreifvj53ljl3mle4k6dq36ufdtrkurbjifr7fr3qtfri43lrhwdzhpq.jpg
joshnicholas.com,2024-12-03,Next #scribble vocab word: kanava,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lcgltorvyc2l,bafkreibj7u4rxw6lb2axwlb7yjb3xdhlmkwcdrzzmdobolwur3s4j4u75u.jpg
joshnicholas.com,2024-12-02,#scribble 4: ka-thaa karanava,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lce3iojad224,bafkreiasucistwpt5erdxie6pb6x24nzzaonqi3wkcg5ljofhjrj4qzr24.jpg
joshnicholas.com,2024-12-02,Ok I'm back on it. #Scribble 3:,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lce2n7j6o224,bafkreic6qlpz5nkur2g7cagtpirx47ewqmxgesx2yzfurficd47ngynhm4.jpg
joshnicholas.com,2024-12-02,"Even in the most interesting season in a ~decade, F1's secondary storylines are often so much more interesting/headline grabbing than the actual racing... Don't know how sustainable this is for a sport.",False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lcbuvxn42k2n,bafkreihrqfbfjorsym5zxz32z2ug4q5sxejyh6olbasmyg6pc3ffne3zb4.jpg
joshnicholas.com,2024-12-01,Also this graphic. Using data from @francismarkham.work,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lcbslsiu622x,bafkreidfddvkiis36v6voxmkhekbzyfntojyp4ncc2alymu24clixmsizm.jpgbafkreidybvhrqlty7ex3wjvzrbvuoeu2qi3h3b4vo6flti7y4z5tl2hoea.jpgbafkreicvax3nj53jgdzcaeenbtglew5ympt5sdyk6drbuki4g5rwfehhku.jpgbafkreifd3lzph332ymzra4kzygcg3fcxy5fhxc34xalw4zlqem5gbinsay.jpg
joshnicholas.com,2024-11-30,Tried redrawing on my iPad and mucked up the hands,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3lc5qdhvje22o,bafkreicsxzosmxshcbrkqiopx45iez5usw3sdkbspzxqqqxujxub7cnova.jpg
joshnicholas.com,2024-02-17,It sprung!,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3klnhl2jyta2k,bafkreihnhin3ktxu7qmy7cskxtoc7te6pkp3v47sybg75kz7ses46anxqm.jpg
joshnicholas.com,2024-02-03,Blue earring,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kkka6uuhu22r,bafkreicqvsi7j6kqd2yzembeququdkcsjzh3l5hcuc3p4rvnic5krgirkm.jpg
